#   10005     1
G06 2.105 1 P
G06 4.145 1 S
G07 1.520 1 P
G07 3.800 1 S
G08 0.792 1 P
G08 2.232 1 S
G09 1.726 1 P
G09 3.566 1 S
G10 1.183 1 P
G10 2.663 1 S
G12 2.689 1 P
G12 5.289 1 S
#   10014     2
G01 5.802 1 P
G01 10.642 1 S
G02 4.831 1 P
G02 9.671 1 S
G03 4.045 1 P
G03 8.045 1 S
G04 3.920 1 P
G04 7.640 1 S
G05 3.533 1 P
G06 2.261 1 P
G06 4.661 1 S
G07 1.756 1 P
G07 4.056 1 S
G08 0.867 1 P
G08 1.387 1 S
G09 1.842 1 P
G09 4.082 1 S
G10 1.399 1 P
G10 2.959 1 S
G12 2.905 1 P
G13 3.677 1 P
G13 7.957 1 S
G14 3.675 1 P
G14 7.555 1 S
#   10019     3
G08 0.861 1 P
G08 2.461 1 S
G09 1.715 1 P
G09 3.475 1 S
#   10022     4
G05 3.115 1 P
G05 5.835 1 S
G06 2.063 1 P
G06 4.223 1 S
G07 1.658 1 P
G07 3.538 1 S
G08 0.869 1 P
G08 1.869 1 S
G09 2.037 1 P
G09 2.057 1 S
G10 1.601 1 P
G10 3.161 1 S
#   10025     5
G08 0.871 1 P
G08 1.951 1 S
G09 1.725 1 P
G09 3.525 1 S
G10 1.323 1 P
G10 2.883 1 S
#   10036     6
G02 4.862 1 P
G02 9.502 1 S
G03 3.985 1 P
G03 7.705 1 S
G04 3.880 1 P
G04 7.320 1 S
G05 3.254 1 P
G05 6.454 1 S
G06 2.262 1 P
G06 4.622 1 S
G07 1.696 1 P
G07 4.376 1 S
G08 0.928 1 P
G08 2.408 1 S
G09 1.802 1 P
G09 3.682 1 S
G10 1.340 1 P
G10 2.740 1 S
G13 3.638 1 P
G13 8.318 1 S
G14 3.636 1 P
G14 6.956 1 S
#   10042     7
G02 4.840 1 P
G02 9.680 1 S
G03 4.003 1 P
G03 7.723 1 S
G04 3.888 1 P
G04 7.328 1 S
G05 3.242 1 P
G05 6.482 1 S
G06 2.290 1 P
G06 4.530 1 S
G07 1.684 1 P
G07 4.044 1 S
G08 0.936 1 P
G08 2.256 1 S
G09 1.730 1 P
G09 3.570 1 S
G10 1.248 1 P
G10 2.528 1 S
G13 3.576 1 P
G13 7.216 1 S
G14 3.573 1 P
G14 6.613 1 S
#   1005     8
G06 1.532 1 P
G06 2.912 1 S
G07 1.816 1 P
G07 1.836 1 S
G08 1.048 1 P
G08 2.368 1 S
G09 1.821 1 P
G09 3.861 1 S
G10 2.283 1 P
G10 3.843 1 S
#   10053     9
G03 3.870 1 P
G03 7.510 1 S
G04 3.755 1 P
G04 7.235 1 S
G05 3.168 1 P
G05 5.928 1 S
G06 2.116 1 P
G06 4.156 1 S
G07 1.631 1 P
G07 3.751 1 S
G08 0.883 1 P
G08 1.883 1 S
G09 1.757 1 P
G09 3.717 1 S
G10 1.414 1 P
G10 2.894 1 S
G13 3.623 1 P
G13 6.823 1 S
#   10062    10
G03 3.924 1 P
G03 7.604 1 S
G04 3.809 1 P
G04 7.929 1 S
G05 3.183 1 P
G05 6.263 1 S
G06 2.191 1 P
G06 4.391 1 S
G07 1.645 1 P
G07 3.645 1 S
G08 0.937 1 P
G08 2.017 1 S
G10 1.329 1 P
G10 2.969 1 S
G14 3.574 1 P
G14 6.734 1 S
#   10065    11
G07 1.594 1 P
G07 3.714 1 S
G08 0.906 1 P
G08 2.306 1 S
G09 1.720 1 P
G09 3.680 1 S
G10 1.398 1 P
G10 2.678 1 S
#   10098    12
G06 2.036 1 P
G06 3.996 1 S
G07 1.611 1 P
G07 3.811 1 S
G08 0.583 1 P
G08 2.183 1 S
G09 1.717 1 P
G09 3.517 1 S
G10 1.494 1 P
G10 3.054 1 S
#   10128    13
G04 3.939 1 P
G04 7.419 1 S
G07 1.815 1 P
G08 1.067 1 P
G08 2.067 1 S
G09 1.921 1 P
G09 4.841 1 S
G10 1.659 1 P
G10 3.059 1 S
G12 3.074 1 P
G12 5.754 1 S
G13 3.847 1 P
G13 7.487 1 S
#   10153    14
G03 3.993 1 P
G03 7.633 1 S
G04 3.878 1 P
G04 7.198 1 S
G05 3.272 1 P
G05 6.272 1 S
G06 2.240 1 P
G06 4.280 1 S
G07 1.774 1 P
G07 3.814 1 S
G08 1.006 1 P
G08 2.006 1 S
G09 1.900 1 P
G09 3.700 1 S
G10 1.558 1 P
G10 3.278 1 S
#   10173    15
G04 3.946 1 P
G04 7.666 1 S
G06 2.288 1 P
G06 4.448 1 S
G07 1.742 1 P
G07 4.022 1 S
G08 0.854 1 P
G08 1.814 1 S
G09 1.848 1 P
G09 3.768 1 S
G10 1.426 1 P
G10 2.746 1 S
G12 3.001 1 P
G12 5.921 1 S
G13 3.774 1 P
G13 6.894 1 S
#   10201    16
G06 2.351 1 P
G06 4.471 1 S
G08 0.917 1 P
G08 1.997 1 S
G09 1.751 1 P
G09 1.771 1 S
G10 1.249 1 P
G10 2.489 1 S
G12 2.824 1 P
G12 5.344 1 S
#   1022    17
G02 5.329 1 P
G02 9.809 1 S
G03 4.439 1 P
G03 8.479 1 S
G06 2.765 1 P
G06 5.205 1 S
G07 2.004 1 P
G07 4.164 1 S
G08 1.342 1 P
G08 2.942 1 S
G09 1.755 1 P
G09 3.715 1 S
G10 0.936 1 P
G10 1.856 1 S
G12 2.599 1 P
G12 5.079 1 S
G13 3.413 1 P
G13 6.253 1 S
G14 3.391 1 P
G14 6.071 1 S
G16 5.516 1 P
#   10226    18
