#  7     1
G06   0.01147 0.9  P
G08   0.02959 0.9  P
G10   0.00168 0.9  P
G13   0.00074 0.9  P
G15   0.00333 0.9  P
G16   0.00889 0.9  P
#  14    2
G03   0.00059 0.9  P
G04   0.01804 0.9  P
G10   0.00095 0.9  P
#  35    3
G01   0.00561 0.9  P
G02   0.00037 0.9  P
G03   0.00142 0.9  P
G05   0.00342 0.9  P
G06   0.00469 0.9  P
G10   0.00881 0.9  P
G12   0.00234 0.9  P
G13   0.00358 0.9  P
G14   0.00825 0.9  P
#  64    4
G01   0.00304 0.9  P
G02   0.00278 0.9  P
G03   0.00065 0.9  P
G05   0.00085 0.9  P
G07   0.00608 0.9  P
G09   0.00113 0.9  P
G10   0.00123 0.9  P
G12   0.00028 0.9  P
#  156   5
G01   0.00258 0.9  P
G02   0.00486 0.9  P
G03   0.00035 0.9  P
G05   0.00005 0.9  P
G07   0.01681 0.9  P
G09   0.00683 0.9  P
#  190   6
G01   0.00527 0.9  P
G03   0.00676 0.9  P
G07   0.00780 0.9  P
G10   0.00366 0.9  P
G12   0.00659 0.9  P
G13   0.00144 0.9  P
G14   0.00949 0.9  P
G15   0.00712 0.9  P
#  376   7
G04   0.01950 0.9  P
G06   0.01295 0.9  P
G07   0.00765 0.9  P
G09   0.00034 0.9  P
G10   0.00104 0.9  P
G12   0.00109 0.9  P
G13   0.00377 0.9  P
G14   0.00644 0.9  P
G15   0.00140 0.9  P
#  575   8
G03   0.01128 0.9  P
G04   0.00008 0.9  P
G05   0.00201 0.9  P
G06   0.00014 0.9  P
G07   0.00441 0.9  P
G08   0.00117 0.9  P
G09   0.00385 0.9  P
G10   0.00152 0.9  P
G12   0.00070 0.9  P
G13   0.00141 0.9  P
G14   0.00013 0.9  P
G15   0.00020 0.9  P
#  618   9
G06   0.00685 0.9  P
G07   0.00924 0.9  P
G10   0.00096 0.9  P
G12   0.00489 0.9  P
G13   0.00798 0.9  P
#  626   10
G03   0.00100 0.9  P
G06   0.00421 0.9  P
G12   0.00032 0.9  P
G13   0.00308 0.9  P
G14   0.00220 0.9  P
#  640   11
G01   0.01122 0.9  P
G02   0.01639 0.9  P
G03   0.00238 0.9  P
G05   0.00211 0.9  P
G06   0.00045 0.9  P
G07   0.00001 0.9  P
G10   0.00344 0.9  P
G12   0.00581 0.9  P
G13   0.00946 0.9  P
G14   0.00520 0.9  P
G15   0.00399 0.9  P
G16   0.00032 0.9  P
#  751   12
G01   0.00065 0.9  P
G04   0.02095 0.7  P
G05   0.00157 0.9  P
G07   0.02179 0.9  P
G08   0.00745 0.9  P
G10   0.00789 0.9  P
G13   0.00396 0.9  P
#  773   13
G03   0.00878 0.9  P
G05   0.00001 0.9  P
G09   0.00129 0.9  P
G12   0.00321 0.9  P
G13   0.01018 0.9  P
G14   0.01487 0.9  P
#  823   14
G03   0.00960 0.9  P
G04   0.00248 0.9  P
G05   0.00146 0.9  P
G06   0.01450 0.9  P
G07   0.00036 0.9  P
G09   0.00037 0.9  P
