#  7     1
G06   0.00811 0.9  P
G07   0.01504 0.9  P
G10   0.00178 0.9  P
G13   0.00065 0.9  P
G15   0.00895 0.9  P
G16   0.04193 0.9  P
#  35    2
G01   0.00066 0.9  P
G03   0.00148 0.9  P
G06   0.00002 1.0  P
G10   0.01534 0.9  P
#  64    3
G01   0.00607 0.9  P
G07   0.01852 0.9  P
G09   0.02265 1.0  P
G10   0.01737 0.9  P
G12   0.02244 0.9  P
#  156   4
G01   0.00042 0.9  P
G03   0.00670 0.9  P
G04   0.02136 0.9  P
G07   0.03713 0.9  P
G09   0.03962 0.9  P
G10   0.02481 0.9  P
#  190   5
G03   0.00263 0.9  P
G06   0.00015 1.0  P
G10   0.00548 0.9  P
#  376   6
G06   0.04219 0.9  P
G07   0.01188 0.9  P
G08   0.01840 0.9  P
G09   0.02737 0.9  P
G10   0.00947 0.9  P
G12   0.01812 0.9  P
G13   0.00039 0.9  P
#  575   7
G03   0.00797 0.9  P
G04   0.00140 0.9  P
G06   0.00883 0.9  P
#  618   8
G04   0.03165 0.9  P
G06   0.03565 0.9  P
G07   0.00649 0.9  P
G08   0.01597 0.9  P
G09   0.03257 0.9  P
G10   0.01491 0.9  P
G12   0.02797 0.9  P
G13   0.00554 0.9  P
#  626   9
G03   0.00604 0.9  P
G06   0.02863 0.9  P
G07   0.00049 1.0  P
G08   0.01372 0.9  P
G09   0.02472 0.9  P
G12   0.01522 0.9  P
G13   0.00062 0.9  P
#  640   10
G01   0.00940 0.9  P
G03   0.00207 0.9  P
G04   0.00633 0.9  P
G05   0.00745 0.9  P
G06   0.01340 0.9  P
G07   0.01197 0.9  P
G08   0.00927 0.9  P
G10   0.00064 0.9  P
G12   0.00927 0.9  P
G13   0.00137 0.9  P
#  751   11
G01   0.01041 0.9  P
G06   0.01592 1.0  P
G07   0.01634 0.9  P
G08   0.05963 0.9  P
G10   0.03156 0.9  P
G13   0.01522 0.9  P
#  773   12
G03   0.02132 0.9  P
G09   0.00697 0.9  P
G12   0.03210 0.9  P
G13   0.00706 0.9  P
#  823   13
G03   0.01465 0.9  P
G04   0.01471 0.9  P
G05   0.00028 0.9  P
G06   0.03227 0.9  P
G07   0.00726 0.9  P
G08   0.01304 0.9  P
G09   0.03094 0.9  P
G10   0.01554 0.9  P
G12   0.01349 0.9  P
G13   0.00307 0.9  P
G14   0.02988 0.9  P
#  1258  14
G10   0.00201 0.9  P
G12   0.02779 0.9  P
G13   0.00489 1.0  P
G14   0.03645 1.0  P
G15   0.00011 0.9  P
G16   0.01395 1.0  P
#  1327  15
G02   0.05543 0.9  P
G08   0.04932 0.9  P
G10   0.02115 0.9  P
G12   0.02171 0.9  P
#  1341  16
G06   0.04595 1.0  P
G07   0.01347 0.9  P
G08   0.03902 0.9  P
G09   0.02126 0.9  P
G10   0.00667 0.9  P
G12   0.00725 0.9  P
G13   0.00107 0.9  P
#  1917  17
G04   0.01653 1.0  P
G06   0.01051 0.9  P
G07   0.02277 0.9  P
#  1922  18
G06   0.02122 0.9  P
G08   0.02697 0.9  P
G10   0.01809 0.9  P
G15   0.00247 0.9  P
#  1929  19
G06   0.01196 0.9  P
G08   0.00646 0.9  P
G10   0.00250 0.9  P
#  1933  20
G03   0.00153 0.9  P
G05   0.00252 0.9  P
G06   0.00578 0.9  P
G09   0.01796 1.0  P
G12   0.03666 0.9  P
#  2057  21
G03   0.00115 0.9  P
G05   0.00659 0.9  P
G06   0.01610 0.9  P
G07   0.03040 0.9  P
G08   0.04332 0.9  P
G09   0.01436 1.0  P
#  2282  22
G06   0.03874 0.9  P
G08   0.03104 0.9  P
G10   0.02694 0.9  P
#  2368  23
G02   0.07762 0.9  P
G04   0.01544 0.9  P
G09   0.03604 0.9  P
G13   0.01770 0.9  P
#  2393  24
G03   0.01673 1.0  P
G05   0.00151 0.9  P
G06   0.01197 0.9  P
G09   0.00093 0.9  P
G12   0.02471 0.9  P
G13   0.00174 0.9  P
#  2423  25
G06   0.00253 0.9  P
G07   0.00399 0.9  P
G08   0.03934 0.9  P
G10   0.00057 0.9  P
G14   0.02441 0.9  P
#  2538  26
G04   0.00113 0.9  P
G06   0.00060 0.9  P
G07   0.00405 0.9  P
G08   0.00498 0.9  P
G09   0.00746 0.9  P
G10   0.01659 0.9  P
G12   0.04695 0.9  P
#  2670  27
G06   0.00320 0.9  P
G07   0.00194 0.9  P
G08   0.00352 0.9  P
#  2953  28
G02   0.02401 0.9  P
G04   0.00379 0.9  P
G06   0.00921 0.9  P
#  3020  29
G03   0.00061 0.9  P
G04   0.01017 1.0  P
G06   0.01848 0.9  P
G07   0.00145 0.9  P
G08   0.00901 1.0  P
G10   0.00112 0.9  P
G12   0.00811 0.9  P
G13   0.00056 0.9  P
#  3056  30
G04   0.01121 0.9  P
G06   0.00376 0.9  P
G07   0.03584 0.9  P
#  3401  31
G01   0.03779 0.9  P
G02   0.06281 0.9  P
G03   0.00362 1.0  P
G07   0.01167 0.9  P
G09   0.01779 0.9  P
G10   0.00028 0.9  P
G13   0.00046 0.9  P
#  3741  32
G07   0.01096 0.9  P
G08   0.05453 0.9  P
G09   0.01256 0.9  P
G16   0.02557 0.9  P
#  3755  33
G03   0.01840 0.9  P
G05   0.03496 0.9  P
G06   0.00720 0.9  P
G07   0.00889 0.9  P
G10   0.00175 0.9  P
#  3768  34
G03   0.00071 0.9  P
G05   0.00955 0.9  P
G06   0.02004 0.9  P
G07   0.02558 0.9  P
#  3860  35
G01   0.00418 0.9  P
G06   0.00139 0.9  P
G07   0.02296 0.9  P
G08   0.02218 0.9  P
G09   0.03197 0.9  P
#  4091  36
G06   0.02532 0.9  P
G07   0.00273 0.9  P
G08   0.01124 0.9  P
G09   0.02504 0.9  P
G10   0.01223 0.9  P
#  4237  37
G03   0.01095 0.9  P
G06   0.01039 0.9  P
G13   0.00009 0.9  P
G14   0.00443 0.9  P
#  4244  38
G04   0.00275 1.0  P
G06   0.02190 1.0  P
G07   0.02539 0.9  P
G09   0.00437 0.9  P
G10   0.00030 0.9  P
G12   0.01670 0.9  P
#  4252  39
G01   0.04670 0.9  P
G03   0.00631 0.9  P
G05   0.00993 0.9  P
G06   0.02136 0.9  P
G07   0.03279 0.9  P
G09   0.01189 0.9  P
G10   0.01324 0.9  P
G12   0.02454 0.9  P
#  4427  40
G02   0.05320 0.9  P
G03   0.02083 0.9  P
G04   0.00933 0.9  P
G06   0.00058 0.9  P
G07   0.00636 0.9  P
#  4603  41
G03   0.01404 0.9  P
G06   0.01352 0.9  P
G07   0.01147 0.9  P
G09   0.01450 0.9  P
G10   0.02613 0.9  P
G12   0.03250 0.9  P
#  4666  42
G01   0.00215 0.9  P
G03   0.01110 0.9  P
G04   0.01210 0.9  P
G06   0.01004 0.9  P
G07   0.00200 0.9  P
#  4716  43
G03   0.01317 0.9  P
G06   0.01239 0.9  P
G08   0.02114 0.9  P
G13   0.00274 1.0  P
#  4779  44
G10   0.02219 0.9  P
G13   0.00036 0.9  P
G14   0.03225 0.9  P
#  4796  45
G01   0.02668 1.0  P
G03   0.00435 0.9  P
G06   0.00413 0.9  P
G07   0.02678 0.9  P
G13   0.01773 0.9  P
#  4842  46
G01   0.01294 0.9  P
G03   0.00747 0.9  P
G04   0.01594 0.9  P
G05   0.00016 0.9  P
G06   0.03146 0.9  P
G07   0.01004 0.9  P
G10   0.02428 0.9  P
G12   0.01465 0.9  P
G13   0.00030 0.9  P
#  4941  47
G03   0.02002 0.9  P
G04   0.00290 0.9  P
G06   0.02363 0.9  P
G07   0.00394 0.9  P
G08   0.00066 0.9  P
G13   0.00536 0.9  P
G14   0.00768 0.9  P
#  5022  48
G08   0.02046 0.9  P
G10   0.00610 0.7  P
G13   0.00033 0.9  P
G16   0.04497 0.9  P
#  5154  49
G06   0.03474 0.9  P
G08   0.02053 0.9  P
G09   0.01512 0.9  P
G10   0.00370 0.9  P
#  5221  50
G06   0.02642 0.9  P
G09   0.01058 0.9  P
G10   0.01651 0.9  P
G12   0.05419 0.9  P
#  5222  51
G05   0.00064 0.9  P
G06   0.00939 0.9  P
G09   0.01118 1.0  P
G12   0.03673 0.9  P
#  5330  52
G08   0.04891 0.9  P
G12   0.03879 0.9  P
G13   0.00148 0.9  P
#  5352  53
G04   0.01256 0.9  P
G06   0.02773 0.9  P
G07   0.02657 0.9  P
#  5364  54
G03   0.00847 0.9  P
G05   0.00143 0.9  P
G06   0.02928 0.9  P
G07   0.00122 0.9  P
G09   0.02982 0.9  P
G13   0.00922 0.9  P
#  5398  55
G06   0.01701 0.9  P
G08   0.01762 0.9  P
G10   0.00855 0.9  P
#  5498  56
G03   0.00758 1.0  P
G04   0.01356 0.9  P
G05   0.00507 0.9  P
G08   0.01609 0.9  P
G09   0.03967 0.9  P
G12   0.02753 0.9  P
#  5834  57
G06   0.00073 1.0  P
G07   0.01390 0.9  P
G12   0.02160 0.9  P
#  5835  58
G01   0.00053 1.0  P
G04   0.00023 0.9  P
G06   0.01548 0.9  P
#  5905  59
G01   0.00221 0.9  P
G06   0.00072 0.9  P
G07   0.01318 0.9  P
G08   0.02410 0.9  P
G09   0.01574 0.9  P
G10   0.00354 0.9  P
G12   0.02539 0.9  P
#  5956  60
G04   0.00418 0.9  P
G06   0.00070 0.9  P
G07   0.02740 0.9  P
#  5972  61
G06   0.02585 0.9  P
G10   0.00034 0.9  P
G12   0.01079 0.9  P
G13   0.00261 0.9  P
#  6018  62
G03   0.02887 0.9  P
G06   0.02544 0.9  P
G08   0.04586 0.9  P
#  6137  63
G03   0.00500 0.9  P
G06   0.02253 0.9  P
G07   0.00074 0.9  P
G08   0.01823 0.9  P
G09   0.02479 0.9  P
G10   0.01914 0.9  P
G12   0.02514 0.9  P
G13   0.00105 0.9  P
#  6148  64
G01   0.03409 0.9  P
G02   0.04608 0.9  P
G03   0.00205 1.0  P
G06   0.01026 1.0  P
G08   0.01665 0.9  P
G09   0.01462 0.9  P
G10   0.00247 0.9  P
G12   0.01304 0.9  P
G13   0.00246 0.9  P
G14   0.01115 0.9  P
#  6151  65
G06   0.03222 0.9  P
G07   0.00225 0.9  P
G08   0.01498 0.9  P
G10   0.01708 0.9  P
#  6231  66
G07   0.01933 0.9  P
G10   0.01697 0.9  P
G13   0.00843 0.9  P
#  6246  67
G06   0.02366 1.0  P
G09   0.00436 0.9  P
G10   0.00006 0.9  P
G13   0.00022 0.9  P
#  6266  68
G08   0.01006 0.9  P
G09   0.01281 0.9  P
G10   0.00117 0.9  P
G12   0.00497 0.9  P
G13   0.00381 0.9  P
#  6281  69
G07   0.01821 0.9  P
G08   0.01880 0.9  P
G10   0.02713 0.9  P
#  6299  70
G03   0.00947 0.9  P
G06   0.00558 0.9  P
G07   0.01788 0.9  P
G09   0.00903 0.9  P
G10   0.01408 0.9  P
G12   0.06050 0.9  P
#  6359  71
G03   0.01907 1.0  P
G06   0.02050 1.0  P
G07   0.00712 0.9  P
G09   0.01239 0.9  P
G10   0.01892 0.9  P
G12   0.03742 0.9  P
#  6422  72
G08   0.03616 1.0  P
G10   0.00122 0.9  P
G13   0.00635 0.9  P
#  6503  73
G04   0.00268 0.9  P
G10   0.00205 0.9  P
G12   0.00232 0.9  P
G13   0.00804 0.9  P
#  6698  74
G04   0.00188 0.9  P
G05   0.01321 0.9  P
G08   0.03645 0.9  P
G10   0.01008 0.9  P
G12   0.01289 0.9  P
#  6715  75
G05   0.03079 0.9  P
G10   0.00009 0.9  P
G13   0.00611 0.9  P
#  6761  76
G04   0.00009 0.9  P
G08   0.03982 0.9  P
G09   0.00753 0.9  P
G10   0.00156 0.9  P
G12   0.00836 0.9  P
G13   0.00326 0.9  P
#  6778  77
